batch_size,num_epochs,keep_prob,is_train,data_dir,train_dir,inference_version
100,50,0.5,True,./MNIST_data,./train,0
time,learning rate,training loss,validation loss,validation accuracy,best epoch,best validation accuracy,test loss,test accuracy
35.072571992874146,0.0015,0.311460488927,0.0913297396759,0.973200008273,1,0.973200008273,0.0920031707245,0.971700003743
34.03381299972534,0.0015,0.0738536598068,0.0630996167066,0.981500006914,2,0.981500006914,0.0529206339692,0.98370000422
36.020731925964355,0.0015,0.0501382828471,0.054659060323,0.983300008178,3,0.983300008178,0.0471197499953,0.984400005937
37.10403919219971,0.0015,0.0392031246778,0.0462560807011,0.985900006294,4,0.985900006294,0.0413317636067,0.986000006199
35.61109280586243,0.0015,0.0299823528966,0.0413310267177,0.989100008011,5,0.989100008011,0.0343982422713,0.988200005889
33.116199016571045,0.0015,0.0250667668403,0.0435277119121,0.987300008535,5,0.989100008011,0.0343982422713,0.988200005889
33.05164194107056,0.0015,0.0220384366336,0.0437376796659,0.987300009131,5,0.989100008011,0.0343982422713,0.988200005889
33.41491389274597,0.0015,0.0180772762068,0.0498730675472,0.986600008011,5,0.989100008011,0.0343982422713,0.988200005889
33.60621500015259,0.0015,0.0155356061492,0.0428409672364,0.988600008488,5,0.989100008011,0.0343982422713,0.988200005889
33.46495604515076,0.0015,0.0125009851873,0.0422433667498,0.98900000751,5,0.989100008011,0.0343982422713,0.988200005889
33.29013204574585,0.0015,0.012034195002,0.0511358990061,0.987800007463,5,0.989100008011,0.0343982422713,0.988200005889
33.43048596382141,0.0015,0.00957564847985,0.0507073343501,0.987600008845,5,0.989100008011,0.0343982422713,0.988200005889
33.64160084724426,0.0015,0.00968351639092,0.0462183534595,0.987900008559,5,0.989100008011,0.0343982422713,0.988200005889
36.00391888618469,0.0015,0.00775783859004,0.0520383674283,0.989200006723,14,0.989200006723,0.0412426227389,0.98990000546
34.25119209289551,0.0015,0.00712598989014,0.0530153659435,0.987800009251,14,0.989200006723,0.0412426227389,0.98990000546
36.43766808509827,0.0015,0.00701359844011,0.0514195266498,0.989900007248,16,0.989900007248,0.0425780391893,0.988600008488
37.23104190826416,0.0015,0.00772312654093,0.0538458359966,0.988400007486,16,0.989900007248,0.0425780391893,0.988600008488
36.32813286781311,0.0015,0.0055247519077,0.0546705147618,0.989100008607,16,0.989900007248,0.0425780391893,0.988600008488
39.32237482070923,0.0015,0.00370021187193,0.0555396124544,0.989200007915,16,0.989900007248,0.0425780391893,0.988600008488
36.869422912597656,0.0015,0.00463522412872,0.063672054545,0.987800006866,16,0.989900007248,0.0425780391893,0.988600008488
34.00110197067261,0.0015,0.00710540812827,0.0651191962045,0.988500007391,16,0.989900007248,0.0425780391893,0.988600008488
36.616557121276855,0.00135,0.00272036376002,0.0575826373089,0.990100007057,22,0.990100007057,0.048779923971,0.990100005865
33.89391493797302,0.00135,0.00230392736167,0.0689602259756,0.987200007439,22,0.990100007057,0.048779923971,0.990100005865
33.991857051849365,0.00135,0.00160310791991,0.072081354624,0.98930000782,22,0.990100007057,0.048779923971,0.990100005865
34.12775492668152,0.00135,0.00235004984481,0.0767031702339,0.987100007534,22,0.990100007057,0.048779923971,0.990100005865
36.51361894607544,0.00135,0.0088487584409,0.0637218247045,0.99050000608,26,0.99050000608,0.0495883779674,0.990400004387
34.04022002220154,0.001215,0.00188276511677,0.0651803225104,0.989500007033,26,0.99050000608,0.0495883779674,0.990400004387
34.106229066848755,0.001215,0.000710026311241,0.0629781782543,0.990300005674,26,0.99050000608,0.0495883779674,0.990400004387
36.52374505996704,0.001215,0.000120532692713,0.0588156264716,0.991500005722,29,0.991500005722,0.0476444059522,0.991200006008
34.328360080718994,0.001215,5.27064468154e-05,0.0591235929597,0.991200005412,29,0.991500005722,0.0476444059522,0.991200006008
43.80105805397034,0.001215,3.18551579637e-05,0.0600837938576,0.991600005031,31,0.991600005031,0.0479100841863,0.991100006104
40.208937883377075,0.001215,2.45804080248e-05,0.0604047541823,0.991600005031,32,0.991600005031,0.0478696860474,0.991100004911
40.772221088409424,0.001215,2.02360327255e-05,0.0611324388434,0.991600005031,33,0.991600005031,0.0480257015343,0.991000005007
44.77198600769043,0.001215,1.63666562712e-05,0.0615726019069,0.991700005531,34,0.991700005531,0.0486656783907,0.991000006199
36.219480991363525,0.001215,1.36320764892e-05,0.0627600341444,0.991500005722,34,0.991700005531,0.0486656783907,0.991000006199
40.08990001678467,0.001215,1.11080663564e-05,0.0634896599814,0.991800005436,36,0.991800005436,0.0493353762505,0.991100005507
40.48686695098877,0.001215,9.67300788292e-06,0.063782872084,0.991700005531,36,0.991800005436,0.0493353762505,0.991100005507
35.56133985519409,0.001215,7.87105103973e-06,0.0642502959023,0.991700005531,36,0.991800005436,0.0493353762505,0.991100005507
34.88678479194641,0.001215,6.32957628555e-06,0.0661471725603,0.991700005531,36,0.991800005436,0.0493353762505,0.991100005507
34.73772692680359,0.001215,5.55429335811e-06,0.0666163205739,0.991700005531,36,0.991800005436,0.0493353762505,0.991100005507
37.22398281097412,0.001215,4.22085178086e-06,0.0679002679759,0.991900005341,41,0.991900005341,0.0516469797105,0.991600004435
37.67513918876648,0.001215,4.63569495761e-06,0.0694745649325,0.991400005221,41,0.991900005341,0.0516469797105,0.991600004435
37.53935194015503,0.001215,0.0146222118112,0.0808329099113,0.988600007892,41,0.991900005341,0.0516469797105,0.991600004435
35.157103061676025,0.0010935,0.00273718726817,0.0752373488481,0.989700006843,41,0.991900005341,0.0516469797105,0.991600004435
